Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure Type
L,300.8,310.6,1663.0,30.6,139.0,0,No Failure
M,300.8,310.5,1409.0,50.6,141.0,0,No Failure
L,300.8,310.6,1666.0,36.2,144.0,0,No Failure
L,300.7,310.6,1520.0,45.9,146.0,0,No Failure
L,300.6,310.5,1644.0,33.8,148.0,0,No Failure
H,300.6,310.4,1479.0,35.6,150.0,0,No Failure
L,300.6,310.4,1446.0,49.7,155.0,0,No Failure
M,300.6,310.4,1407.0,51.1,157.0,0,No Failure
L,300.7,310.4,1234.0,51.7,160.0,0,No Failure
M,300.8,310.5,1696.0,29.7,162.0,0,No Failure
L,300.8,310.6,1384.0,52.9,165.0,0,No Failure
M,300.8,310.7,1572.0,36.2,167.0,0,No Failure
M,300.8,310.7,1386.0,42.1,170.0,0,No Failure
L,300.8,310.7,1461.0,42.8,173.0,0,No Failure
L,300.8,310.7,1525.0,39.4,175.0,0,No Failure
L,300.7,310.7,1333.0,61.0,177.0,0,No Failure
H,300.7,310.6,1505.0,40.6,179.0,0,No Failure
M,300.7,310.6,1439.0,41.7,184.0,0,No Failure
L,300.7,310.6,1491.0,43.2,187.0,0,No Failure
M,300.7,310.6,1488.0,39.2,189.0,0,No Failure
L,300.7,310.5,1536.0,47.4,192.0,0,No Failure
L,300.7,310.5,1960.0,21.0,194.0,0,No Failure
M,300.7,310.5,1594.0,31.0,196.0,0,No Failure
L,300.7,310.5,1357.0,52.6,199.0,0,No Failure
L,300.7,310.5,1445.0,41.1,201.0,0,No Failure
L,300.7,310.4,1543.0,47.3,203.0,0,No Failure
L,300.7,310.4,1366.0,52.6,205.0,0,No Failure
L,300.7,310.3,1458.0,40.0,207.0,0,No Failure
L,300.7,310.4,1416.0,61.8,209.0,1,PWF
L,300.6,310.3,1794.0,24.4,211.0,0,No Failure
L,300.6,310.3,1484.0,41.0,213.0,0,No Failure
L,300.6,310.4,2514.0,13.4,215.0,0,No Failure
L,300.6,310.3,1648.0,30.5,217.0,1,TWF
M,300.6,310.3,1614.0,32.7,0.0,0,No Failure
L,300.6,310.2,1622.0,34.1,3.0,0,No Failure
M,300.6,310.2,1478.0,40.1,5.0,0,No Failure
L,300.6,310.2,1318.0,51.0,8.0,0,No Failure
L,300.7,310.2,1493.0,35.9,10.0,0,No Failure
H,300.7,310.3,1369.0,50.7,12.0,0,No Failure
L,300.6,310.2,1447.0,45.9,17.0,0,No Failure
L,300.6,310.1,1485.0,49.9,19.0,0,No Failure
L,300.6,310.2,1489.0,47.8,21.0,0,No Failure
M,300.6,310.2,1233.0,52.3,23.0,0,No Failure
L,300.7,310.2,1642.0,32.6,26.0,0,No Failure
M,300.7,310.2,1373.0,44.1,28.0,0,No Failure
L,300.7,310.2,1569.0,32.8,31.0,0,No Failure
L,300.8,310.2,1850.0,22.8,33.0,0,No Failure
M,300.8,310.3,1494.0,42.2,35.0,0,No Failure
H,300.8,310.3,1777.0,30.1,38.0,0,No Failure
L,300.9,310.4,1454.0,43.1,43.0,0,No Failure
L,300.9,310.4,1536.0,34.2,45.0,0,No Failure
L,300.8,310.5,1482.0,39.0,47.0,0,No Failure
H,300.9,310.5,1512.0,41.2,49.0,0,No Failure
M,300.8,310.5,1511.0,35.8,54.0,0,No Failure
L,300.9,310.5,1599.0,40.5,57.0,0,No Failure
M,300.8,310.4,1518.0,36.0,59.0,0,No Failure
M,300.8,310.4,1450.0,39.4,62.0,0,No Failure
L,300.9,310.4,1427.0,47.0,65.0,0,No Failure
L,300.9,310.4,1561.0,32.7,67.0,0,No Failure
H,300.9,310.4,1457.0,43.8,69.0,0,No Failure
M,301.0,310.6,1460.0,53.6,74.0,0,No Failure
L,301.0,310.5,1601.0,33.2,77.0,0,No Failure
L,300.9,310.5,1570.0,40.1,79.0,0,No Failure
L,300.9,310.5,1565.0,35.9,81.0,0,No Failure
L,301.0,310.5,1378.0,44.4,83.0,0,No Failure
L,300.9,310.5,2288.0,16.1,85.0,0,No Failure
M,300.9,310.4,1375.0,44.7,87.0,0,No Failure
L,300.9,310.4,1788.0,27.8,90.0,0,No Failure
M,300.9,310.4,1576.0,40.4,92.0,0,No Failure
M,300.8,310.3,1868.0,24.5,95.0,0,No Failure
L,300.7,310.1,1261.0,56.6,98.0,0,No Failure
M,300.6,310.0,1542.0,33.9,100.0,0,No Failure
L,300.6,310.0,1438.0,53.8,103.0,0,No Failure
L,300.6,310.0,1511.0,36.9,105.0,0,No Failure
L,300.6,310.0,1635.0,31.0,107.0,0,No Failure
L,300.6,309.9,1428.0,48.8,109.0,0,No Failure
M,300.5,309.8,1410.0,44.4,111.0,0,No Failure
L,300.5,309.9,1423.0,47.9,114.0,0,No Failure
M,300.5,309.9,1552.0,41.3,116.0,0,No Failure
M,300.5,310.0,1406.0,50.2,119.0,0,No Failure
L,300.5,309.9,1443.0,48.3,122.0,0,No Failure
M,300.5,309.9,1343.0,63.7,124.0,0,No Failure
M,300.6,310.0,1486.0,41.2,127.0,0,No Failure
L,300.6,310.1,1297.0,50.0,130.0,0,No Failure
L,300.6,310.1,1495.0,42.3,132.0,0,No Failure
L,300.5,309.9,1382.0,46.5,134.0,0,No Failure
M,300.4,309.8,1356.0,44.4,136.0,0,No Failure
H,300.3,309.7,1452.0,41.5,139.0,0,No Failure
H,300.3,309.7,1582.0,30.8,144.0,0,No Failure
M,300.4,309.8,1517.0,40.3,149.0,0,No Failure
L,300.5,310.0,1413.0,44.5,152.0,0,No Failure
L,300.4,309.9,1496.0,31.8,154.0,0,No Failure
L,300.3,309.8,1466.0,41.2,156.0,0,No Failure
M,300.3,309.8,1617.0,40.8,158.0,0,No Failure
L,300.2,309.8,1506.0,41.8,161.0,0,No Failure
L,300.2,309.8,1401.0,49.3,163.0,0,No Failure
H,300.2,309.9,1906.0,22.9,165.0,0,No Failure
L,300.2,309.9,1566.0,36.4,170.0,0,No Failure
L,300.2,310.0,1493.0,47.3,172.0,0,No Failure
L,300.3,310.1,1483.0,39.9,174.0,0,No Failure
M,300.2,309.9,1569.0,31.2,176.0,0,No Failure
M,300.2,310.0,1664.0,30.7,179.0,0,No Failure
L,300.2,310.0,1486.0,40.1,182.0,0,No Failure
L,300.2,310.0,1389.0,53.6,184.0,0,No Failure
L,300.1,310.0,1511.0,41.7,186.0,0,No Failure
M,300.2,310.1,1485.0,40.5,188.0,0,No Failure
L,300.2,310.2,1440.0,42.9,191.0,0,No Failure
L,300.2,310.2,1378.0,43.9,193.0,0,No Failure
M,300.1,310.1,1501.0,39.3,195.0,0,No Failure
M,300.2,310.1,1474.0,44.0,198.0,0,No Failure
L,300.2,310.1,1392.0,47.9,201.0,0,No Failure
M,300.3,310.2,1429.0,44.7,203.0,0,No Failure
L,300.3,310.3,1362.0,60.3,206.0,1,OSF
L,300.3,310.3,1704.0,29.5,0.0,0,No Failure
L,300.3,310.2,1492.0,52.3,2.0,0,No Failure
M,300.3,310.2,1442.0,39.5,4.0,0,No Failure
M,300.2,310.2,1438.0,51.5,7.0,0,No Failure
M,300.1,310.1,1402.0,46.6,10.0,0,No Failure
L,300.1,310.1,1684.0,30.8,13.0,0,No Failure
L,300.2,310.2,1530.0,48.5,15.0,0,No Failure
L,300.1,310.1,1569.0,43.5,17.0,0,No Failure
L,300.1,310.1,1650.0,31.6,19.0,0,No Failure
L,300.2,310.2,1415.0,49.6,21.0,0,No Failure
L,300.2,310.2,1600.0,31.5,23.0,0,No Failure
L,300.2,310.1,1523.0,42.3,25.0,0,No Failure
M,300.2,310.2,1628.0,30.3,27.0,0,No Failure
L,300.2,310.3,1331.0,52.1,30.0,0,No Failure
L,300.3,310.3,2158.0,16.8,32.0,0,No Failure
L,300.2,310.3,1445.0,50.9,34.0,0,No Failure
M,300.2,310.3,1593.0,36.1,36.0,0,No Failure
L,300.3,310.4,1672.0,29.2,39.0,0,No Failure
M,300.4,310.5,1644.0,31.4,41.0,0,No Failure
L,300.4,310.5,1402.0,54.3,44.0,0,No Failure
L,300.4,310.4,1286.0,56.8,46.0,0,No Failure
L,300.4,310.4,1486.0,46.3,48.0,0,No Failure
L,300.3,310.3,1345.0,46.3,50.0,0,No Failure
L,300.3,310.3,1629.0,34.1,52.0,0,No Failure
M,300.2,310.2,1429.0,43.8,54.0,0,No Failure
L,300.1,310.1,1306.0,64.7,57.0,0,No Failure
L,300.1,310.1,1380.0,52.6,59.0,0,No Failure
M,300.1,310.1,1443.0,49.3,61.0,0,No Failure
H,300.1,310.1,1426.0,42.7,64.0,0,No Failure
L,300.0,310.0,1486.0,41.8,69.0,0,No Failure
M,300.0,309.9,1530.0,34.5,71.0,0,No Failure
L,300.0,309.9,1507.0,41.4,74.0,0,No Failure
L,300.0,309.9,1608.0,33.4,76.0,0,No Failure
L,300.0,309.8,1474.0,40.6,78.0,0,No Failure
L,300.0,309.7,1326.0,61.9,80.0,0,No Failure
M,299.8,309.6,1434.0,48.0,82.0,0,No Failure
L,299.8,309.6,1526.0,41.7,85.0,0,No Failure
L,299.8,309.7,1483.0,39.6,87.0,0,No Failure
L,299.8,309.7,1457.0,51.9,89.0,0,No Failure
M,299.7,309.6,1540.0,34.4,91.0,0,No Failure
L,299.8,309.7,1707.0,29.1,94.0,0,No Failure
L,299.8,309.7,1624.0,34.2,96.0,0,No Failure
M,299.8,309.6,1331.0,50.2,98.0,0,No Failure
L,299.8,309.7,1431.0,40.3,101.0,0,No Failure
M,299.8,309.7,1705.0,28.5,103.0,0,No Failure
M,299.8,309.8,1427.0,45.2,106.0,0,No Failure
M,299.9,309.8,1625.0,41.2,109.0,0,No Failure
L,299.9,309.8,1477.0,47.7,112.0,0,No Failure
M,300.0,309.9,1651.0,28.1,114.0,0,No Failure
L,299.9,309.8,1716.0,28.2,117.0,0,No Failure
H,299.9,309.8,1400.0,48.7,119.0,0,No Failure
M,299.8,309.7,1556.0,37.7,124.0,0,No Failure
L,299.8,309.7,1429.0,42.6,127.0,0,No Failure
H,299.7,309.6,1433.0,49.6,129.0,0,No Failure
M,299.8,309.7,1320.0,61.7,134.0,0,No Failure
L,299.8,309.6,1374.0,51.6,137.0,0,No Failure
L,299.8,309.6,1598.0,31.0,139.0,0,No Failure
M,299.8,309.7,1910.0,21.8,141.0,0,No Failure
L,299.7,309.6,1399.0,51.3,144.0,0,No Failure
L,299.7,309.6,1720.0,27.1,146.0,0,No Failure
H,299.8,309.7,1368.0,47.4,148.0,0,No Failure
L,299.8,309.8,1749.0,33.4,153.0,0,No Failure
L,299.8,309.8,1542.0,39.4,155.0,0,No Failure
L,299.8,309.9,1553.0,36.6,157.0,0,No Failure
M,299.9,309.9,1639.0,42.1,159.0,0,No Failure
L,299.9,310.0,1447.0,45.9,162.0,0,No Failure
M,299.8,310.0,1397.0,48.1,164.0,0,No Failure
L,299.8,310.0,1361.0,53.8,167.0,0,No Failure
M,299.8,310.0,1460.0,37.1,169.0,0,No Failure
M,299.8,310.0,1632.0,33.7,172.0,0,No Failure
L,299.8,310.0,1697.0,36.0,175.0,0,No Failure
L,299.8,310.1,1553.0,42.0,177.0,0,No Failure
M,299.9,310.1,1362.0,56.3,179.0,0,No Failure
M,299.9,310.0,1484.0,42.1,182.0,0,No Failure
H,299.9,310.1,1447.0,51.4,185.0,0,No Failure
M,300.0,310.2,1393.0,51.2,190.0,0,No Failure
L,300.0,310.2,1760.0,26.9,193.0,0,No Failure
L,300.0,310.1,1477.0,34.6,195.0,0,No Failure
L,299.9,310.1,1681.0,29.1,197.0,0,No Failure
M,300.0,310.1,1314.0,53.5,199.0,0,No Failure
L,300.0,310.1,1762.0,28.0,202.0,0,No Failure
L,299.9,310.0,1402.0,44.7,204.0,0,No Failure
M,300.1,310.2,1429.0,42.0,206.0,0,No Failure
M,300.2,310.3,1448.0,40.1,209.0,0,No Failure
H,300.2,310.4,1501.0,42.9,212.0,0,No Failure
L,300.3,310.5,1522.0,39.1,217.0,0,No Failure
L,300.3,310.4,1493.0,37.5,219.0,0,No Failure
M,300.2,310.3,1704.0,29.4,221.0,0,No Failure
H,300.2,310.3,1408.0,42.5,0.0,0,No Failure
L,300.2,310.4,1518.0,41.8,5.0,0,No Failure
L,300.3,310.4,1742.0,25.9,7.0,0,No Failure
M,300.4,310.5,1500.0,43.0,9.0,0,No Failure
L,300.4,310.5,2424.0,14.5,12.0,0,No Failure
L,300.4,310.5,1818.0,25.1,14.0,0,No Failure
M,300.4,310.6,1545.0,35.6,16.0,0,No Failure
L,300.4,310.6,1429.0,46.9,19.0,0,No Failure
M,300.4,310.6,1448.0,44.9,21.0,0,No Failure
L,300.4,310.6,1384.0,48.7,24.0,0,No Failure
L,300.4,310.5,1578.0,32.8,26.0,0,No Failure
L,300.5,310.5,1695.0,26.7,28.0,0,No Failure
L,300.5,310.6,1543.0,36.2,30.0,0,No Failure
M,300.4,310.5,1540.0,33.4,32.0,0,No Failure
L,300.2,310.4,1808.0,25.8,35.0,0,No Failure
M,300.3,310.4,1293.0,49.7,37.0,0,No Failure
L,300.2,310.3,1202.0,59.5,40.0,0,No Failure
M,300.2,310.3,1704.0,29.2,42.0,0,No Failure
M,300.2,310.3,1478.0,38.1,45.0,0,No Failure
L,300.2,310.3,1514.0,38.7,48.0,0,No Failure
M,300.1,310.3,1350.0,48.8,50.0,0,No Failure
L,300.1,310.2,1475.0,54.2,53.0,0,No Failure
H,300.0,310.1,1714.0,28.7,55.0,0,No Failure
L,300.0,310.1,1465.0,40.9,60.0,0,No Failure
L,299.9,310.2,1288.0,69.6,62.0,1,PWF
L,300.0,310.2,1675.0,29.7,64.0,0,No Failure
L,300.0,310.2,1486.0,36.4,66.0,0,No Failure
M,300.0,310.2,1443.0,58.7,68.0,0,No Failure
M,300.1,310.3,1345.0,57.1,71.0,0,No Failure
M,300.2,310.4,1202.0,61.7,74.0,0,No Failure
M,300.1,310.4,1480.0,37.1,77.0,0,No Failure
M,300.2,310.4,1530.0,35.7,80.0,0,No Failure
M,300.2,310.6,1983.0,20.8,83.0,0,No Failure
L,300.3,310.6,1433.0,53.8,86.0,0,No Failure
L,300.3,310.6,1806.0,24.4,88.0,0,No Failure
L,300.2,310.5,1416.0,46.7,90.0,0,No Failure
M,300.1,310.4,1556.0,38.1,92.0,0,No Failure
L,300.1,310.5,1627.0,29.2,95.0,0,No Failure
L,300.1,310.6,1809.0,24.3,97.0,0,No Failure
M,300.1,310.5,1329.0,57.4,99.0,0,No Failure
H,300.0,310.4,1881.0,21.9,102.0,0,No Failure
L,300.1,310.5,1500.0,39.8,107.0,0,No Failure
L,300.1,310.5,1532.0,36.0,109.0,0,No Failure
L,300.1,310.5,1492.0,50.9,111.0,0,No Failure
L,300.2,310.6,1431.0,42.3,113.0,0,No Failure
L,300.1,310.4,1554.0,39.4,115.0,0,No Failure
L,300.1,310.5,1494.0,44.2,117.0,0,No Failure
L,300.1,310.6,1374.0,45.4,119.0,0,No Failure
L,300.1,310.5,1394.0,44.3,121.0,0,No Failure
M,300.0,310.5,1790.0,25.7,123.0,0,No Failure
L,300.1,310.5,1356.0,45.8,126.0,0,No Failure
M,300.0,310.4,1385.0,52.1,128.0,0,No Failure
L,300.0,310.4,1333.0,49.1,131.0,0,No Failure
L,300.0,310.4,1505.0,44.9,133.0,0,No Failure
L,300.0,310.5,1606.0,33.5,135.0,0,No Failure
H,300.0,310.5,1558.0,36.7,137.0,0,No Failure
L,300.0,310.5,1412.0,52.4,142.0,0,No Failure
L,299.9,310.4,1408.0,38.4,144.0,0,No Failure
L,299.9,310.3,1268.0,53.3,146.0,0,No Failure
L,299.9,310.4,1470.0,50.0,148.0,0,No Failure
L,299.9,310.4,1497.0,47.0,150.0,0,No Failure
L,299.9,310.3,1638.0,29.1,152.0,0,No Failure
H,299.9,310.3,1535.0,43.9,154.0,0,No Failure
L,299.8,310.2,1654.0,32.7,159.0,0,No Failure
H,299.8,310.2,1411.0,49.7,161.0,0,No Failure
L,299.8,310.2,1911.0,23.5,166.0,0,No Failure
H,299.8,310.2,1573.0,33.3,168.0,0,No Failure
L,299.9,310.2,1479.0,46.3,173.0,0,No Failure
M,299.9,310.4,1820.0,26.6,175.0,0,No Failure
L,299.9,310.4,1419.0,45.7,178.0,0,No Failure
M,299.9,310.5,1335.0,52.9,180.0,0,No Failure
M,299.9,310.5,1576.0,39.4,183.0,0,No Failure
L,300.0,310.5,1517.0,42.2,186.0,0,No Failure
M,299.9,310.4,1576.0,34.3,188.0,0,No Failure
H,299.8,310.2,1537.0,36.6,191.0,0,No Failure
L,299.8,310.3,1524.0,34.2,196.0,0,No Failure
M,299.8,310.3,1805.0,23.7,198.0,0,No Failure
M,299.9,310.4,1367.0,53.3,201.0,0,No Failure
L,299.8,310.4,1694.0,30.3,204.0,0,No Failure
L,299.9,310.4,1328.0,49.9,206.0,0,No Failure
H,299.9,310.5,1549.0,42.8,208.0,0,No Failure
L,299.9,310.5,1539.0,32.8,213.0,0,No Failure
L,299.8,310.5,1496.0,38.8,215.0,0,No Failure
L,299.8,310.4,1579.0,36.4,0.0,0,No Failure
L,299.7,310.3,1386.0,46.6,2.0,0,No Failure
L,299.7,310.3,1505.0,37.7,4.0,0,No Failure
M,299.7,310.3,1661.0,34.5,6.0,0,No Failure
L,299.6,310.2,1468.0,48.0,9.0,0,No Failure
L,299.6,310.1,1384.0,49.8,11.0,0,No Failure
L,299.6,310.2,1381.0,60.5,13.0,0,No Failure
L,299.6,310.2,1469.0,47.0,15.0,0,No Failure
L,299.6,310.2,1627.0,36.6,17.0,0,No Failure
H,299.7,310.3,1462.0,40.4,19.0,0,No Failure
L,299.7,310.2,1633.0,36.5,24.0,0,No Failure
L,299.7,310.2,1469.0,39.5,26.0,0,No Failure
L,299.7,310.2,1458.0,43.4,28.0,0,No Failure
M,299.7,310.2,1440.0,42.8,30.0,0,No Failure
L,299.8,310.3,1687.0,30.4,33.0,0,No Failure
M,299.7,310.3,1429.0,47.7,35.0,0,No Failure
L,299.6,310.2,1588.0,34.1,38.0,0,No Failure
L,299.6,310.2,1333.0,51.2,40.0,0,No Failure
L,299.6,310.1,1487.0,42.9,42.0,0,No Failure
M,299.5,310.1,1659.0,31.5,44.0,0,No Failure
M,299.4,310.0,1512.0,43.2,47.0,0,No Failure
L,299.5,310.1,1585.0,35.2,50.0,0,No Failure
L,299.5,310.0,1502.0,38.5,52.0,0,No Failure
L,299.5,310.0,1594.0,35.1,54.0,0,No Failure
L,299.5,310.0,1412.0,48.9,56.0,0,No Failure
L,299.5,309.9,1402.0,51.7,58.0,0,No Failure
L,299.6,310.1,2057.0,20.4,60.0,0,No Failure
H,299.6,310.1,1531.0,36.8,62.0,0,No Failure
M,299.5,310.1,1359.0,61.1,67.0,0,No Failure
M,299.6,310.2,1620.0,30.0,70.0,0,No Failure
M,299.6,310.1,1646.0,29.6,73.0,0,No Failure
M,299.6,310.1,1455.0,46.1,76.0,0,No Failure
L,299.6,310.2,1512.0,44.0,79.0,0,No Failure
L,299.6,310.2,1473.0,42.7,81.0,0,No Failure
L,299.6,310.1,1553.0,38.0,83.0,0,No Failure
L,299.5,310.0,1379.0,50.4,85.0,0,No Failure
M,299.4,309.9,1567.0,40.6,87.0,0,No Failure
L,299.5,310.0,1481.0,43.1,90.0,0,No Failure
L,299.5,310.0,1349.0,52.7,92.0,0,No Failure
L,299.5,310.0,1388.0,52.4,94.0,0,No Failure
M,299.6,310.1,1357.0,48.7,96.0,0,No Failure
L,299.6,310.2,1743.0,24.8,99.0,0,No Failure
L,299.7,310.3,1495.0,43.1,101.0,0,No Failure
L,299.8,310.4,1698.0,28.3,103.0,0,No Failure
M,299.7,310.4,1410.0,44.5,105.0,0,No Failure
L,299.7,310.4,1614.0,36.2,108.0,0,No Failure
M,299.8,310.5,1375.0,53.9,110.0,0,No Failure
M,299.8,310.6,1574.0,31.8,113.0,0,No Failure
H,299.8,310.6,1423.0,44.6,116.0,0,No Failure
M,299.8,310.6,1694.0,31.3,121.0,0,No Failure
L,299.8,310.6,1707.0,32.5,124.0,0,No Failure
M,299.7,310.5,1490.0,41.2,126.0,0,No Failure
L,299.7,310.6,1675.0,31.3,129.0,0,No Failure
M,299.7,310.5,1492.0,39.3,131.0,0,No Failure
M,299.7,310.5,1594.0,35.4,134.0,0,No Failure
L,299.7,310.6,1479.0,38.0,137.0,0,No Failure
M,299.7,310.6,1572.0,38.0,139.0,0,No Failure
L,299.7,310.6,1616.0,35.1,142.0,0,No Failure
L,299.7,310.6,1737.0,26.1,144.0,0,No Failure
M,299.7,310.7,1498.0,37.8,146.0,0,No Failure
L,299.6,310.6,1642.0,35.1,149.0,0,No Failure
M,299.6,310.6,1633.0,34.2,151.0,0,No Failure
L,299.8,310.8,1409.0,51.9,154.0,0,No Failure
M,299.8,310.8,1463.0,43.5,156.0,0,No Failure
L,299.8,310.8,1376.0,48.6,159.0,0,No Failure
L,299.8,310.8,1553.0,32.2,161.0,0,No Failure
M,299.8,310.8,1530.0,35.2,163.0,0,No Failure
L,299.8,310.9,1545.0,40.7,166.0,0,No Failure
H,299.8,310.9,1427.0,47.2,168.0,0,No Failure
L,299.9,310.9,1292.0,51.1,173.0,0,No Failure
L,299.8,310.9,2084.0,17.6,175.0,0,No Failure
L,299.9,311.0,1747.0,27.6,177.0,0,No Failure
L,300.0,311.1,1425.0,47.8,179.0,0,No Failure
L,300.0,311.0,1637.0,33.6,181.0,0,No Failure
M,300.1,311.1,1616.0,35.2,183.0,0,No Failure
L,300.1,311.1,1619.0,33.4,186.0,0,No Failure
L,300.1,311.2,1489.0,39.1,188.0,0,No Failure
M,300.1,311.2,1452.0,42.4,190.0,0,No Failure
M,300.1,311.3,1495.0,41.0,193.0,0,No Failure
M,300.2,311.4,1427.0,39.7,196.0,0,No Failure
L,300.1,311.4,1572.0,36.2,199.0,0,No Failure
L,300.1,311.3,1547.0,40.0,201.0,0,No Failure
M,300.1,311.4,1342.0,48.5,203.0,0,No Failure
L,300.0,311.2,1351.0,44.1,206.0,0,No Failure
L,300.0,311.3,1407.0,47.3,208.0,0,No Failure
M,300.1,311.4,1575.0,29.8,210.0,0,No Failure
M,300.0,311.4,1791.0,24.1,213.0,0,No Failure
M,300.0,311.4,1692.0,29.0,216.0,1,TWF
L,300.0,311.4,1634.0,31.9,0.0,0,No Failure
M,300.0,311.4,1864.0,23.3,2.0,0,No Failure
L,300.0,311.4,1590.0,33.6,5.0,0,No Failure
M,300.0,311.4,1384.0,46.1,7.0,0,No Failure
M,300.0,311.4,1352.0,61.8,10.0,0,No Failure
L,300.1,311.4,1484.0,43.1,13.0,0,No Failure
M,300.1,311.4,1913.0,21.9,15.0,0,No Failure
L,300.0,311.4,1508.0,38.2,18.0,0,No Failure
L,299.9,311.3,1504.0,40.7,20.0,0,No Failure
L,300.0,311.4,1487.0,41.2,22.0,0,No Failure
L,299.8,311.3,1727.0,30.0,24.0,0,No Failure
L,299.9,311.3,1647.0,27.5,26.0,0,No Failure
L,300.0,311.3,1493.0,41.4,28.0,0,No Failure
L,300.0,311.4,1655.0,29.6,30.0,0,No Failure
M,299.9,311.4,1337.0,54.8,32.0,0,No Failure
L,300.0,311.5,1601.0,36.9,35.0,0,No Failure
H,300.1,311.6,1589.0,37.9,37.0,0,No Failure
L,300.2,311.7,1286.0,55.1,42.0,0,No Failure
L,300.2,311.7,1553.0,41.3,44.0,0,No Failure
L,300.2,311.8,1379.0,51.0,46.0,0,No Failure
M,300.3,311.9,1677.0,30.8,48.0,0,No Failure
L,300.3,311.8,1488.0,38.4,51.0,0,No Failure
L,300.3,311.8,1418.0,45.9,53.0,0,No Failure
L,300.3,311.8,1451.0,41.0,55.0,0,No Failure
L,300.3,311.8,1508.0,43.1,57.0,0,No Failure
L,300.3,311.7,1579.0,33.6,59.0,0,No Failure
H,300.3,311.7,1432.0,47.7,61.0,0,No Failure
L,300.2,311.6,1446.0,47.3,66.0,0,No Failure
M,300.2,311.7,1597.0,39.5,68.0,0,No Failure
M,300.2,311.7,1397.0,50.2,71.0,0,No Failure
L,300.1,311.6,1530.0,36.6,74.0,0,No Failure
M,300.1,311.6,1433.0,51.4,76.0,0,No Failure
L,300.0,311.5,1591.0,32.0,79.0,0,No Failure
L,300.0,311.5,1445.0,41.6,81.0,0,No Failure
L,300.0,311.5,1749.0,28.3,83.0,0,No Failure
L,300.0,311.3,1703.0,30.4,85.0,0,No Failure
H,300.1,311.4,1518.0,46.9,87.0,0,No Failure
L,300.1,311.3,1535.0,42.3,92.0,0,No Failure
M,300.1,311.4,1390.0,52.1,94.0,0,No Failure
H,300.3,311.6,1801.0,23.6,97.0,0,No Failure
H,300.3,311.6,1463.0,41.6,102.0,0,No Failure
L,300.3,311.6,1560.0,37.7,107.0,0,No Failure
L,300.3,311.6,1607.0,33.5,109.0,0,No Failure
L,300.4,311.6,1332.0,54.6,111.0,0,No Failure
L,300.3,311.7,1365.0,53.3,113.0,0,No Failure
M,300.3,311.6,1617.0,32.5,115.0,0,No Failure
M,300.3,311.6,1304.0,62.8,118.0,0,No Failure
L,300.3,311.7,1989.0,22.3,121.0,0,No Failure
H,300.3,311.6,1339.0,53.4,123.0,0,No Failure
L,300.2,311.5,1492.0,41.8,128.0,0,No Failure
M,300.1,311.3,1518.0,40.2,130.0,0,No Failure
L,300.1,311.3,1479.0,39.5,133.0,0,No Failure
M,300.1,311.3,1523.0,34.1,135.0,0,No Failure
M,300.2,311.4,1570.0,35.3,138.0,0,No Failure
H,300.2,311.4,1506.0,36.1,141.0,0,No Failure
M,300.2,311.6,1510.0,47.5,146.0,0,No Failure
L,300.2,311.6,1671.0,28.8,149.0,0,No Failure
M,300.3,311.6,1312.0,53.4,151.0,0,No Failure
L,300.3,311.6,1595.0,38.8,154.0,0,No Failure
L,300.3,311.7,1635.0,31.8,156.0,0,No Failure
L,300.3,311.7,1707.0,33.6,158.0,0,No Failure
M,300.2,311.6,1751.0,28.0,162.0,0,No Failure
M,300.4,311.8,1707.0,30.0,165.0,0,No Failure
L,300.4,311.8,1320.0,57.9,168.0,0,No Failure
M,300.3,311.7,1319.0,51.4,170.0,0,No Failure
L,300.2,311.7,1448.0,54.2,173.0,0,No Failure
L,300.2,311.8,1436.0,48.2,175.0,0,No Failure
L,300.3,311.9,1609.0,34.0,177.0,0,No Failure
L,300.2,311.8,1464.0,44.5,179.0,0,No Failure
M,300.3,311.8,1483.0,45.1,181.0,0,No Failure
M,300.2,311.8,1748.0,28.5,184.0,0,No Failure
L,300.3,311.8,1746.0,26.3,187.0,0,No Failure
L,300.2,311.8,1410.0,51.4,189.0,0,No Failure
L,300.2,311.7,1640.0,30.8,191.0,0,No Failure
H,300.3,311.7,1655.0,29.9,193.0,0,No Failure
M,300.3,311.7,1646.0,28.9,198.0,0,No Failure
L,300.4,311.8,1589.0,42.0,201.0,0,No Failure
L,300.5,311.9,1546.0,39.4,203.0,0,No Failure
L,300.5,311.9,1511.0,41.8,205.0,0,No Failure
L,300.5,311.9,1750.0,28.3,207.0,0,No Failure
M,300.5,311.9,1730.0,27.5,209.0,0,No Failure
L,300.6,311.9,1372.0,60.1,212.0,1,OSF
L,300.5,311.8,1524.0,38.9,214.0,1,TWF
L,300.4,311.8,1601.0,36.1,0.0,0,No Failure
M,300.5,311.8,1636.0,34.4,2.0,0,No Failure
L,300.4,311.8,2261.0,14.9,5.0,0,No Failure
L,300.4,311.8,1636.0,32.3,7.0,0,No Failure
M,300.4,311.9,1335.0,58.3,9.0,0,No Failure
M,300.3,311.7,1236.0,57.5,12.0,0,No Failure
L,300.3,311.7,1445.0,47.3,15.0,0,No Failure
L,300.2,311.5,1500.0,40.8,17.0,0,No Failure
L,300.2,311.6,1999.0,21.0,19.0,0,No Failure
